month,task_type,pr_count,merge_rate
2024-05,documentation,2,50.0
2024-05,feature,4,75.0
2024-05,other,5,20.0
2024-06,bug,6,66.66666666666666
2024-06,documentation,4,25.0
2024-06,feature,3,100.0
2024-06,other,5,40.0
2024-07,bug,3,33.33333333333333
2024-07,documentation,4,75.0
2024-07,feature,1,100.0
2024-07,other,10,30.0
2024-08,bug,5,60.0
2024-08,documentation,4,50.0
2024-08,feature,1,100.0
2024-08,other,9,44.44444444444444
2024-09,bug,5,20.0
2024-09,documentation,2,50.0
2024-09,feature,2,50.0
2024-09,other,8,25.0
2024-10,bug,6,50.0
2024-10,documentation,4,25.0
2024-10,feature,4,50.0
2024-10,other,22,27.27272727272727
2024-11,bug,4,25.0
2024-11,documentation,2,50.0
2024-11,feature,6,83.33333333333334
2024-11,other,6,33.33333333333333
2024-12,bug,6,66.66666666666666
2024-12,documentation,1,0.0
2024-12,feature,2,100.0
2024-12,other,5,60.0
2025-01,bug,5,80.0
2025-01,documentation,5,60.0
2025-01,feature,2,100.0
2025-01,other,4,50.0
2025-02,bug,4,25.0
2025-02,documentation,1,0.0
2025-02,feature,3,66.66666666666666
2025-02,other,10,30.0
2025-03,bug,7,42.857142857142854
2025-03,documentation,6,66.66666666666666
2025-03,feature,4,25.0
2025-03,other,10,40.0
2025-04,bug,6,50.0
2025-04,documentation,7,71.42857142857143
2025-04,feature,3,66.66666666666666
2025-04,other,9,33.33333333333333
2025-05,bug,7,28.57142857142857
2025-05,documentation,1,0.0
2025-05,feature,5,20.0
2025-05,other,18,5.555555555555555
2025-06,bug,3,66.66666666666666
2025-06,documentation,7,14.285714285714285
2025-06,feature,3,0.0
2025-06,other,15,20.0
